"State","Year","Vat_MillionEuro","Paye_Income_Tax_MillionEuro","Self_Employed_MillionEuro","Corporate_Tax_MillionEuro","Capital_Gain_MillionEuro"
"Carlow",2012,43.67,76.03,23.35,5.68,2.48
"Cavan",2012,61.05,103.16,26.06,12.96,7.41
"Clare",2012,76.4,201.43,42.1,107.04,5.21
"Cork",2012,770.75,1048.71,309.29,664.98,31.43
"Donegal",2012,85.38,98.62,47.91,17.24,5.82
"Dublin",2012,5250.91,6417.91,1138.01,2656.81,177.16
"Galway",2012,201.97,521.36,125.02,72.35,50.86
"Kerry",2012,102.66,443.5,73.69,28.97,26.58
"Kildare",2012,279.14,343.95,101.13,62.87,13.62
"Kilkenny",2012,66.48,190.4,50.54,14.83,5.53
"Laois",2012,44.2,36.4,26.29,3.93,2.55
"Leitrim",2012,14.13,103.59,10.2,3.3,1.07
"Limerick",2012,166.48,371.15,91.23,134.65,9.06
"Longford",2012,17.61,32.3,13.99,5.04,0.69
"Louth",2012,138.81,170.71,39.95,17.92,4.57
"Mayo",2012,105.28,126.07,50.92,40.81,3.87
"Meath",2012,153.83,250.24,96.66,44.76,14.37
"Monaghan",2012,45.02,49.63,21.19,9.56,2.67
"Offaly",2012,43,202.77,27.19,8.51,2.35
"Roscommon",2012,36.58,35.09,23.82,3.38,1.81
"Sligo",2012,35.78,96.61,26.22,64.82,2
"Tipperary",2012,121.54,130.97,83,28.91,6.99
"Waterford",2012,79.16,167.66,60.63,45.24,5.85
"Westmeath",2012,58.71,734.3,41.12,19.96,5.85
"Wexford",2012,96.12,114.77,65.12,29.51,6.93
"Wicklow",2012,145.51,185.36,83.53,62.73,11.12
"Other ",2012,455.02,161.33,38.85,48.24,5.14
